1239645086;41.16051;-8.63373;-0.150687;0.7183864
1239645093;41.15806;-8.630418;-0.1506292;0.7183436
1239645101;41.15899;-8.635827;-0.1507236;0.7183599
1243809319;41.15988;-8.632872;-0.150672;0.7183754
1243809322;41.16304;-8.634965;-0.1507086;0.7184306
1243809327;41.16023;-8.634868;-0.1507069;0.7183815
1243809331;41.1606;-8.632808;-0.1506709;0.718388
1243809340;41.1605;-8.634095;-0.1506934;0.7183862
1243809345;41.16053;-8.632683;-0.1506687;0.7183868
1243857847;41.16381;-8.634038;-0.1506924;0.7184441
1243857850;41.16339;-8.633487;-0.1506828;0.7184367
1243857851;41.16373;-8.633345;-0.1506803;0.7184427
1243857867;41.16392;-8.634907;-0.1507076;0.718446
1243857868;41.16376;-8.633355;-0.1506805;0.7184432
1243857875;41.16307;-8.63553;-0.1507184;0.7184311
1243857883;41.16336;-8.633546;-0.1506838;0.7184361
1243857885;41.16369;-8.633351;-0.1506804;0.718442
1243857889;41.16388;-8.633574;-0.1506843;0.7184452
1243857906;41.16359;-8.633591;-0.1506846;0.7184402
1243857910;41.16384;-8.633782;-0.1506879;0.7184445
1243857928;41.16351;-8.633592;-0.1506846;0.7184387
1243857948;41.16301;-8.635257;-0.1507137;0.71843
1243857972;41.16383;-8.634478;-0.1507001;0.7184443
1243857985;41.16398;-8.635426;-0.1507166;0.718447
1243858000;41.16381;-8.634148;-0.1506943;0.718444
1252543205;41.1556;-8.626032;-0.1505527;0.7183008
1252543206;41.15611;-8.626974;-0.1505691;0.7183096
1252543207;41.15613;-8.626932;-0.1505684;0.7183099
1252543208;41.1557;-8.626415;-0.1505594;0.7183025
1252543215;41.15854;-8.623425;-0.1505072;0.718352
1252543219;41.15604;-8.626972;-0.1505691;0.7183084
1252543222;41.15602;-8.626929;-0.1505683;0.7183081
1252543223;41.15607;-8.626838;-0.1505667;0.7183089
1252543225;41.15437;-8.626545;-0.1505616;0.7182792
1252543227;41.15534;-8.625868;-0.1505498;0.7182962
1252543228;41.15606;-8.626843;-0.1505668;0.7183087
1252543229;41.15611;-8.626851;-0.150567;0.7183096
1252543231;41.15603;-8.626871;-0.1505673;0.7183082
1252543234;41.15602;-8.626895;-0.1505677;0.7183081
1252543236;41.1554;-8.625713;-0.1505471;0.7182972
1252543237;41.15612;-8.62687;-0.1505673;0.7183098
1252543239;41.15612;-8.626956;-0.1505688;0.7183098
1252543240;41.15607;-8.626987;-0.1505693;0.7183089
1252543246;41.15604;-8.626852;-0.150567;0.7183084
1252543247;41.15613;-8.626894;-0.1505677;0.7183099
1252543249;41.15606;-8.626985;-0.1505693;0.7183087
1252543250;41.15603;-8.626953;-0.1505687;0.7183082
1252543251;41.15609;-8.626841;-0.1505668;0.7183093
1252543252;41.15609;-8.626986;-0.1505693;0.7183093
1264279425;41.15856;-8.633282;-0.1506792;0.7183524
1278184335;41.14993;-8.606378;-0.1502096;0.7182017
1278184346;41.14914;-8.609488;-0.1502639;0.718188
1278184350;41.14853;-8.607087;-0.150222;0.7181773
1293997458;41.15934;-8.613442;-0.1503329;0.7183661
1293997461;41.15931;-8.61349;-0.1503338;0.7183655
1293997462;41.15947;-8.613362;-0.1503315;0.7183683
1293997463;41.15936;-8.613379;-0.1503318;0.7183663
1296455444;41.14706;-8.63278;-0.1506704;0.7181517
1353874575;41.15125;-8.633111;-0.1506762;0.7182248
1386051842;41.14826;-8.614397;-0.1503496;0.7181726
1386051845;41.14827;-8.612989;-0.150325;0.7181728
1386063691;41.14771;-8.620144;-0.1504499;0.718163
1416622188;41.15346;-8.63068;-0.1506338;0.7182634
1416622189;41.15352;-8.628756;-0.1506002;0.7182645
1416622190;41.15539;-8.628181;-0.1505902;0.7182971
1416622192;41.1555;-8.628265;-0.1505916;0.718299
1416622194;41.15552;-8.627954;-0.1505862;0.7182993
1416622196;41.1558;-8.628609;-0.1505976;0.7183042
1416622197;41.15607;-8.628785;-0.1506007;0.7183089
1416622198;41.15633;-8.628733;-0.1505998;0.7183135
1416622199;41.15645;-8.628879;-0.1506023;0.7183155
1416622200;41.15647;-8.628974;-0.150604;0.7183158
1416622201;41.15656;-8.629516;-0.1506135;0.7183174
1416622202;41.15662;-8.628944;-0.1506035;0.7183185
1416641671;41.1555;-8.630583;-0.1506321;0.718299
1416641674;41.15792;-8.622315;-0.1504878;0.7183412
1416641676;41.15805;-8.622544;-0.1504918;0.7183434
1417595985;41.15733;-8.62484;-0.1505319;0.7183309
1417603317;41.15319;-8.624507;-0.150526;0.7182587
1417603323;41.15387;-8.62567;-0.1505463;0.7182705
1417675671;41.15687;-8.622774;-0.1504958;0.7183229
1417675672;41.15692;-8.623066;-0.1505009;0.7183238
1417675673;41.15705;-8.623854;-0.1505146;0.7183261
1417678296;41.15794;-8.622432;-0.1504898;0.7183416
1417680971;41.15559;-8.627865;-0.1505847;0.7183006
1417680972;41.15581;-8.627579;-0.1505797;0.7183044
1417693657;41.15581;-8.620972;-0.1504643;0.7183044
1417693658;41.15588;-8.620839;-0.150462;0.7183056
1417694650;41.15579;-8.622878;-0.1504976;0.7183041
1417694651;41.15594;-8.623035;-0.1505004;0.7183067
1418798461;41.15252;-8.632472;-0.1506651;0.7182469
1418798462;41.15257;-8.632381;-0.1506635;0.7182478
1418798463;41.15261;-8.632466;-0.150665;0.7182486
1418798464;41.15264;-8.63226;-0.1506614;0.718249
1418798465;41.15264;-8.632511;-0.1506657;0.7182491
1418798466;41.15258;-8.631507;-0.1506482;0.718248
1418798469;41.15269;-8.632813;-0.150671;0.7182499
1418798470;41.15273;-8.632169;-0.1506598;0.7182506
1418798471;41.15277;-8.632568;-0.1506667;0.7182513
1418798472;41.15289;-8.632294;-0.1506619;0.7182534
1419645367;41.15472;-8.620312;-0.1504528;0.7182854
1419645369;41.15474;-8.620464;-0.1504555;0.7182857
1419645371;41.15474;-8.620103;-0.1504492;0.7182856
1419645372;41.15481;-8.620605;-0.1504579;0.718287
1419645373;41.15483;-8.620956;-0.1504641;0.7182873
1419645374;41.15483;-8.619997;-0.1504473;0.7182873
1419645375;41.15493;-8.620546;-0.1504569;0.718289
1419645377;41.15501;-8.619847;-0.1504447;0.7182904
1419645378;41.15532;-8.619565;-0.1504398;0.7182959
1419645380;41.15559;-8.628345;-0.150593;0.7183005
1419645381;41.15559;-8.628247;-0.1505913;0.7183006
1419645384;41.15622;-8.628769;-0.1506004;0.7183116
1422563112;41.1501;-8.623905;-0.1505155;0.7182047
1422567181;41.15496;-8.620474;-0.1504557;0.7182895
1422610102;41.15665;-8.612796;-0.1503216;0.718319
1422610104;41.15681;-8.612757;-0.150321;0.7183218
1422610108;41.15714;-8.612631;-0.1503188;0.7183276
1422610110;41.15718;-8.612763;-0.1503211;0.7183284
1422611542;41.153;-8.606385;-0.1502098;0.7182553
1422611556;41.15552;-8.610462;-0.1502809;0.7182993
1422611558;41.15582;-8.610693;-0.1502849;0.7183045
1438444025;41.15131;-8.625819;-0.1505489;0.7182258
1438444053;41.15254;-8.626417;-0.1505594;0.7182473
1438444055;41.15255;-8.62631;-0.1505575;0.7182475
1438444061;41.15501;-8.628753;-0.1506002;0.7182905
1438444062;41.1551;-8.628791;-0.1506008;0.7182919
1438444063;41.15516;-8.628646;-0.1505983;0.718293
1438444064;41.15542;-8.630043;-0.1506227;0.7182975
1438444067;41.15572;-8.629695;-0.1506166;0.7183027
1487171490;41.15876;-8.627247;-0.1505739;0.718356
1541417335;41.1668;-8.595055;-0.150012;0.7184961
1548540061;41.16631;-8.602367;-0.1501396;0.7184876
1548540063;41.16653;-8.6034;-0.1501577;0.7184916
1548540064;41.16653;-8.603028;-0.1501512;0.7184916
1548540065;41.16656;-8.603156;-0.1501534;0.7184921
1548540066;41.16657;-8.603322;-0.1501563;0.7184922
1594649021;41.14847;-8.634008;-0.1506919;0.7181762
1594649028;41.14853;-8.634011;-0.1506919;0.7181774
1676280555;41.14942;-8.611213;-0.150294;0.7181929
1676280580;41.15042;-8.610337;-0.1502787;0.7182104
1676280584;41.15076;-8.609918;-0.1502714;0.7182162
1676280585;41.15082;-8.610886;-0.1502883;0.7182173
1676280588;41.15188;-8.609861;-0.1502704;0.7182359
1684844618;41.14874;-8.615372;-0.1503666;0.718181
1684844801;41.14971;-8.610348;-0.1502789;0.7181979
1684844808;41.14983;-8.611008;-0.1502904;0.7182
1684844811;41.14986;-8.611495;-0.1502989;0.7182005
1684844816;41.14994;-8.611424;-0.1502977;0.718202
1684844825;41.15049;-8.610851;-0.1502877;0.7182115
1684865551;41.1525;-8.620785;-0.1504611;0.7182467
1684865554;41.15303;-8.61831;-0.1504179;0.7182559
1684865555;41.15334;-8.621042;-0.1504656;0.7182614
1694229354;41.15154;-8.63025;-0.1506263;0.7182298
1694229355;41.1508;-8.63027;-0.1506266;0.718217
1784648699;41.1528;-8.63223;-0.1506608;0.7182518
1788785731;41.14934;-8.629124;-0.1506066;0.7181914
1788785841;41.15083;-8.609961;-0.1502722;0.7182174
1788785853;41.15098;-8.63359;-0.1506846;0.7182201
1788785872;41.15104;-8.63359;-0.1506846;0.7182211
1788785905;41.15127;-8.634466;-0.1506999;0.7182251
1788785920;41.15133;-8.628938;-0.1506034;0.7182261
1788786020;41.15182;-8.616377;-0.1503841;0.7182348
1788786041;41.15187;-8.615677;-0.1503719;0.7182357
1788786062;41.15197;-8.616399;-0.1503845;0.7182373
1788786080;41.15202;-8.615699;-0.1503723;0.7182382
1788786086;41.15203;-8.616764;-0.1503909;0.7182384
1788786094;41.15204;-8.616815;-0.1503918;0.7182387
